,Name,University,Year of Graduation,Advisor,Link
0,Abejide  Ade-Ibijola ,University of the Witwatersrand,2016,"[['Sigrid  Ewert ', 'Universiteit Stellenbosch', '1999'], ['Ian  Sanders ', 'University of Pretoria', '2002']]",https://scholar.google.com//citations?hl=en&user=yV98MIcAAAAJ
1,Jesús  Araujo ,[],[],[],https://scholar.google.com//citations?hl=en&user=AyPNr_oAAAAJ
2,Juan  Asenjo ,[],[],[],https://scholar.google.com//citations?hl=en&user=KZ07gAUAAAAJ
3,Jean-Francois  Aujol ,Université de Nice-Sophia Antipolis,2004,"[['Gilles  Aubert ', 'Université Pierre-et-Marie-Curie - Paris VI', '1986'], ['Laure  Blanc-Féraud ']]",https://scholar.google.com//citations?hl=en&user=-zd1xzMAAAAJ
4,Johan Pires Björgen ,[],[],[],https://scholar.google.com//citations?hl=en&user=zQavbsMAAAAJ
5,John Markus  Bjørndalen ,Scient. (Ph.D.) Universitetet i Tromsø – Norges arktiske universitet,2003,[['Otto J Anshus ']],https://scholar.google.com//citations?hl=en&user=_cP68xIAAAAJ
6,Dejan  Bojović ,University of Kragujevac,2000,"[['Boško S Jovanović ', 'University of Belgrade', '1976']]",https://scholar.google.com//citations?hl=en&user=MZLxFrcAAAAJ
7,Nebojša  Bojović ,[],[],[],https://scholar.google.com//citations?hl=en&user=IyN1jXQAAAAJ
8,Jorge  Castillejos ,University of Glasgow,2016,"[['Stuart Andrew White ', 'The University of Edinburgh', '2006']]",https://scholar.google.com//citations?hl=en&user=M5csqIIAAAAJ
9,Jean-François  Coeurjolly ,Université Joseph Fourier Grenoble I,2000,"[['Anestis  Antoniadis ', 'Université Scientifique et Médiacale de Grenoble (University of Grenoble)', '1983']]",https://scholar.google.com//citations?hl=en&user=lNtzCMsAAAAJ
10,Juan Manuel Cornejo ,Universidad Nacional del Sur,2011,"[['Manuel  Abad ', 'Universidad Nacional del Sur', '1987']]",https://scholar.google.com//citations?hl=en&user=WiTEwkoAAAAJ
11,Josue  Corujo ,Université Paris IX - Dauphine,2021,"[['Djalil  Chafai ', 'Université Paul Sabatier - Toulouse III', '2002'], ['Simona  Grusea ', 'Université de Provence - Aix-Marseille I', '2008']]",https://scholar.google.com//citations?hl=en&user=3QdTmnoAAAAJ
12,Djurdje  Cvijovic ,University of Cambridge,1994,[['Jacek  Klinowski ']],https://scholar.google.com//citations?hl=en&user=T1kouJ4AAAAJ
13,Jasper  de Jong ,Universiteit Twente,2016,"[['Marc  Uetz ', 'Technische Universität Berlin', '2001']]",https://scholar.google.com//citations?hl=en&user=FetAEaYAAAAJ
14,Jozeph  de Jong ,Universiteit Leiden,1871,"[['David  Bierens de Haan ', 'Universiteit Leiden', '1847']]",https://scholar.google.com//citations?hl=en&user=R5bGYgQAAAAJ
15,Maartje  de Jonge ,Technische Universiteit Delft,2014,"[['Arie  van Deursen ', 'Universiteit van Amsterdam', '1994'], ['Eelco  Visser ', 'Universiteit van Amsterdam', '1997']]",https://scholar.google.com//citations?hl=en&user=WN8ZgDwAAAAJ
16,P J  de Jongh ,University of Cape Town,1985,"[['Casparus Gerhardus Troskie ', 'University of South Africa', '1963'], ['Tertius  de Wet ', 'Potchefstroomse Universiteit vir Christelike Hoër Onderwys', '1972']]",https://scholar.google.com//citations?hl=en&user=JejrUoEAAAAJ
17,Javier  de Lucas Araujo ,Universidad de Zaragoza,2009,"[['José Fernando Cariñena ', 'Universidad de Valladolid', '1972']]",https://scholar.google.com//citations?hl=en&user=XNuXyrYAAAAJ
18,Jelena  Djokic ,Universität Leipzig,2006,"[['Wolfgang  Hackbusch ', 'Universität zu Köln', '1973']]",https://scholar.google.com//citations?hl=en&user=B3pOqo8AAAAJ
19,Josip  Djolonga ,ETH Zürich,2018,"[['Andreas  Krause ', 'Carnegie Mellon University', '2008']]",https://scholar.google.com//citations?hl=en&user=4NdMn_MAAAAJ
20,Djordje  Djordjevic ,University of Niš,1997,"[['Gradimir V Milovanovic ', 'University of Niš', '1976']]",https://scholar.google.com//citations?hl=en&user=xXcfZnUAAAAJ
21,Marija  Gajdardziska-Josifovska ,Arizona State University,1991,"[['John Maxwell Cowley ', 'Massachusetts Institute of Technology', '1949']]",https://scholar.google.com//citations?hl=en&user=-t-iqwUAAAAJ
22,Jordi  Herrera Joancomartí ,Universitat Politècnica de Catalunya,2000,"[['Josep  Domingo-Ferrer ', 'Universitat Autònoma de Barcelona', '1991']]",https://scholar.google.com//citations?hl=en&user=l3_SR-gAAAAJ
23,Soojin  Jo ,"University of California, San Diego",2012,"[['James Douglas Hamilton ', 'University of California, Berkeley', '1983']]",https://scholar.google.com//citations?hl=en&user=WSSgpfAAAAAJ
24,Benjamin  Joachimi ,rer. nat. Rheinische Friedrich-Wilhelms-Universität Bonn,2010,"[['Peter  Schneider ', 'rer. nat. Rheinische Friedrich-Wilhelms-Universität Bonn', '1984']]",https://scholar.google.com//citations?hl=en&user=KmG3dlcAAAAJ
25,Jose  Joao ,University of Texas at Austin,2014,"[['Yale Nance Patt ', 'Stanford University', '1966']]",https://scholar.google.com//citations?hl=en&user=rWC7M90AAAAJ
26,Joshua  Job ,University of Southern California,2018,"[['Daniel A Lidar ', 'Hebrew University of Jerusalem', '1997']]",https://scholar.google.com//citations?hl=en&user=cH8tzJAAAAAJ
27,John M Jobe ,Oklahoma State University,1966,"[['Olan Harvey Hamilton ', 'University of Texas at Austin', '1937']]",https://scholar.google.com//citations?hl=en&user=huUBlCoAAAAJ
28,John David Jobson ,Iowa State University,1972,"[['Wayne Arthur Fuller ', 'Iowa State University', '1959']]",https://scholar.google.com//citations?hl=en&user=twIs4-sAAAAJ
29,Alejandro  Jofré ,[],[],[],https://scholar.google.com//citations?hl=en&user=tDzKF-AAAAAJ
30,Alejandro  Jofré ,Universidad de Chile,1989,"[['Jean-Paul  Penot ', 'Université de Paris', '1970']]",https://scholar.google.com//citations?hl=en&user=tDzKF-AAAAAJ
31,Matjaž  Jogan ,University of Ljubljana,2008,"[['Ales  Leonardis ', 'University of Ljubljana', '1993']]",https://scholar.google.com//citations?hl=en&user=P_LVCLoAAAAJ
32,James Michael Johannes ,University of Wisconsin-Madison,1978,"[['Edgar L Feige ', 'The University of Chicago', '1963']]",https://scholar.google.com//citations?hl=en&user=5raO77cAAAAJ
33,Jan  Johannes ,Humboldt-Universität zu Berlin,2002,"[['Olaf  Bunke ', 'Humboldt-Universität zu Berlin', '1960']]",https://scholar.google.com//citations?hl=en&user=AjmDxgoAAAAJ
34,Jeff  Johannes ,Indiana University,1998,"[['Charles  Livingston ', 'University of California, Berkeley', '1980']]",https://scholar.google.com//citations?hl=en&user=Tuy2cFIAAAAJ
35,Joseph  Johannes ,phil. Eberhard-Karls-Universität Tübingen,1888,[],https://scholar.google.com//citations?hl=en&user=avXaLdIAAAAJ
36,Kjetil Andre  Johannessen ,Norges Teknisk-Naturvitenskapelige Universitet,2014,[['Trond  Kvamsdal ']],https://scholar.google.com//citations?hl=en&user=D6YYWDAAAAAJ
37,Jacob  Johannsen ,Aarhus University,2015,"[['Olivier  Danvy ', 'Université Pierre-et-Marie-Curie - Paris VI', '1986']]",https://scholar.google.com//citations?hl=en&user=_mCuP8wAAAAJ
38,Jan  Johannsen ,Friedrich-Alexander-Universität Erlangen-Nürnberg,1996,"[['Volker  Strehl ', 'Friedrich-Alexander-Universität Erlangen-Nürnberg', '1974']]",https://scholar.google.com//citations?hl=en&user=cSbR4a0AAAAJ
39,Ørjan  Johansen ,Scient. Norges Teknisk-Naturvitenskapelige Universitet,1998,"[['Christian F Skau ', 'University of Pennsylvania', '1973']]",https://scholar.google.com//citations?hl=en&user=0AX7mo8AAAAJ
40,Marje  Johanson ,University of Tartu,2012,"[['Eve  Oja ', 'Sci. University of Tartu', '1975'], ['Rainis  Haller ', 'University of Tartu', '2002']]",https://scholar.google.com//citations?hl=en&user=5wwNgYkAAAAJ
41,Björn  Johansson ,Lund University,2003,"[['Karl Kalle  Åström ', 'Lund University', '1996'], ['Gunnar  Sparr ', 'Lund University', '1972']]",https://scholar.google.com//citations?hl=en&user=24ubx_wAAAAJ
42,John W John ,University of Wisconsin-Madison,1985,"[['Samuel Watkins Bent ', 'Stanford University', '1982']]",https://scholar.google.com//citations?hl=en&user=XszwZ1YAAAAJ
43,Shaju  John ,University of Maryland College Park,2007,"[['Christopher Peter Cadou ', 'University of California, Los Angeles', '1996']]",https://scholar.google.com//citations?hl=en&user=YpGaU6oAAAAJ
44,Joseph  Johns ,The University of Chicago,2006,"[['Paul  Seidel ', 'University of Oxford', '1997']]",https://scholar.google.com//citations?hl=en&user=Qxtj86kAAAAJ
45,John  Johnsen ,Columbia University,1970,"[['Patrick Ximenes Gallagher ', 'Princeton University', '1959']]",https://scholar.google.com//citations?hl=en&user=NKLGLsoAAAAJ
46,Jon  Johnsen ,Københavns Universitet,1993,"[['Gerd A Grubb ', 'Stanford University', '1966']]",https://scholar.google.com//citations?hl=en&user=NKLGLsoAAAAJ
47,Benjamin Edward Johnson ,"University of California, Berkeley",2008,"[['Leo Anthony Harrington ', 'Massachusetts Institute of Technology', '1973']]",https://scholar.google.com//citations?hl=en&user=GVYvyYIAAAAJ
48,Benjamin  Johnson ,Cornell University,2014,"[['Hadas  Kress-Gazit ', 'University of Pennsylvania', '2008']]",https://scholar.google.com//citations?hl=en&user=GVYvyYIAAAAJ
49,Benjamin  Johnson ,University of Massachusetts Amherst,2017,"[['Eric Nathan Sommers ', 'Massachusetts Institute of Technology', '1997']]",https://scholar.google.com//citations?hl=en&user=GVYvyYIAAAAJ
50,James A Johnson ,University of Minnesota - Twin Cities,1963,"[['Oswald Harvey Brownlee ', 'Iowa State University', '1945']]",https://scholar.google.com//citations?hl=en&user=QGAACkcAAAAJ
51,James D Johnson ,State University of New York at Stony Brook,1972,"[['Barry Malcolm McCoy ', 'Harvard University', '1967']]",https://scholar.google.com//citations?hl=en&user=VmEJFc4AAAAJ
52,James Ralph Johnson ,University of Minnesota - Twin Cities,1985,"[['Richard P McGehee ', 'University of Wisconsin-Madison', '1969']]",https://scholar.google.com//citations?hl=en&user=s8FYT_IAAAAJ
53,James Stephen Johnson ,University of Colorado at Boulder,1968,"[['James Donald Monk ', 'University of California, Berkeley', '1961']]",https://scholar.google.com//citations?hl=en&user=3JdY4BkAAAAJ
54,Janet L Johnson ,North Carolina State University,1992,"[['Lee Vernon Stiff ', 'North Carolina State University', '1978'], ['Sarah Burke Berenson ', 'Florida State University', '1985']]",https://scholar.google.com//citations?hl=en&user=1d8GVaUAAAAJ
55,Jeffrey  Johnson ,University of Montana,2013,"[['Toma Thomas V Tonev ', 'Lomonosov Moscow State University', '1973']]",https://scholar.google.com//citations?hl=en&user=zR99h0MAAAAJ
56,Jeffrey Horace Johnson ,University of Essex,1975,[['Ron H Atkin ']],https://scholar.google.com//citations?hl=en&user=BtMS0q0AAAAJ
57,Jennifer  Johnson ,Brandeis University,1989,"[['Michael Howard Harris ', 'Harvard University', '1977']]",https://scholar.google.com//citations?hl=en&user=PjZBl4QAAAAJ
58,Jennifer Elisabeth Johnson ,"University of California, Berkeley",2003,"[['R Jay  Wallace ', 'Princeton University', '1988']]",https://scholar.google.com//citations?hl=en&user=Ec3V6xEAAAAJ
59,Jeremiah  Johnson ,University of New Hampshire,2010,"[['Edward Kuell Hinson ', 'Northwestern University', '1985']]",https://scholar.google.com//citations?hl=en&user=0WqVazoAAAAJ
60,Jesse E Johnson ,"University of California, Davis",2006,"[['Abigail A Thompson ', 'Rutgers University, New Brunswick', '1986']]",https://scholar.google.com//citations?hl=en&user=Pgp4OlgAAAAJ
61,J John Howard Johnson ,University of Waterloo,1983,"[['Frank William Tompa ', 'University of Toronto', '1974']]",https://scholar.google.com//citations?hl=en&user=JzB6vYoAAAAJ
62,John A Johnson ,University of Cambridge,1964,"[['Ian  Proudman ', 'University of Cambridge', '1951'], ['Owen M Phillips ', 'University of Cambridge', '1955']]",https://scholar.google.com//citations?hl=en&user=eL0hVBwAAAAJ
63,John  Johnson ,Howard University,2011,"[['Neil  Hindman ', 'Wesleyan University', '1969']]",https://scholar.google.com//citations?hl=en&user=NKLGLsoAAAAJ
64,John David Johnson ,The University of North Carolina at Chapel Hill,2002,"[['Indra Mohan Chakravarti ', 'Indian Statistical Institute, Kolkata', '1958']]",https://scholar.google.com//citations?hl=en&user=4naTNYYAAAAJ
65,John Henry Johnson ,Massachusetts Institute of Technology,1999,"[['Joshua David Angrist ', 'Princeton University', '1989'], ['Daron Kamer Acemoglu ', 'London School of Economics and Political Science', '1992']]",https://scholar.google.com//citations?hl=en&user=nFOlpiwAAAAJ
66,John David Johnson ,Texas A&M University,1987,"[['Robert Leon Basmann ', 'Iowa State University', '1955'], ['Raymond Charles Battalio ', 'Purdue University', '1970']]",https://scholar.google.com//citations?hl=en&user=4naTNYYAAAAJ
67,Jon Lee Johnson ,University of Kentucky,1976,"[['Paul Mechlin Eakin Jr ', 'Louisiana State University', '1968']]",https://scholar.google.com//citations?hl=en&user=8AkztB0AAAAJ
68,Joseph  Johnson ,University of Virginia,2012,"[['Nicholas John Kuhn ', 'The University of Chicago', '1980']]",https://scholar.google.com//citations?hl=en&user=3ub2YLkAAAAJ
69,Joseph Francis Johnson ,Massachusetts Institute of Technology,1983,"[['David Alexander Vogan Jr ', 'Massachusetts Institute of Technology', '1976']]",https://scholar.google.com//citations?hl=en&user=XBYT8j4AAAAJ
70,Justin  Johnson ,Stanford University,2018,"[['Fei-Fei  Li ', 'California Institute of Technology', '2005']]",https://scholar.google.com//citations?hl=en&user=WkA5a_UAAAAJ
71,Julius Robert Johnson Jr ,Duke University,1957,"[['Leonard  Carlitz ', 'University of Pennsylvania', '1930']]",https://scholar.google.com//citations?hl=en&user=hJn5yEYAAAAJ
72,John  Johnston ,"University of Wales, Bangor",1957,[],https://scholar.google.com//citations?hl=en&user=ezC8j88AAAAJ
73,Joshua  Johnston ,University of Akron,2011,"[['Gerald Wayne Young ', 'Northwestern University', '1985']]",https://scholar.google.com//citations?hl=en&user=8sQhQl0AAAAJ
74,Biljana  Jolevska-Tuneska ,University of Novi Sad,2003,"[['Arpad  Takači ', 'University of Novi Sad', '1982'], ['Brian  Fisher ']]",https://scholar.google.com//citations?hl=en&user=o-fZXIQAAAAJ
75,Johan  Jonasson ,Göteborg Universitet,1994,"[['Tommy  Norberg ', 'Göteborg Universitet', '1985']]",https://scholar.google.com//citations?hl=en&user=GaTDO0UAAAAJ
76,Benjamin Arthur Jones ,The University of New Mexico,2015,"[['Janie M Chermak ', 'Colorado School of Mines', '1991'], ['Robert P Berrens ', 'Oregon State University', '1993']]",https://scholar.google.com//citations?hl=en&user=dU7nc6gAAAAJ
77,Benjamin F Jones ,University of Notre Dame,2007,"[['Samuel Robert Evens ', 'Massachusetts Institute of Technology', '1988']]",https://scholar.google.com//citations?hl=en&user=uzkrkCUAAAAJ
78,James  Jones ,New York University,1988,"[['James G Glimm ', 'Columbia University', '1959']]",https://scholar.google.com//citations?hl=en&user=7cys8kgAAAAJ
79,James Edward Jones ,Victoria University of Manchester,1971,[],https://scholar.google.com//citations?hl=en&user=zAA-bwwAAAAJ
80,Jason C Jones ,The University of North Carolina at Chapel Hill,2008,"[['Stanley Warren Black ', 'Yale University', '1965']]",https://scholar.google.com//citations?hl=en&user=P9dLfVkAAAAJ
81,Jeffrey P Jones ,Brown University,1977,"[['John  Wermer ', 'Harvard University', '1951']]",https://scholar.google.com//citations?hl=en&user=ko73b-QAAAAJ
